INFO  - 2015-11-25 20:52:27.314; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Software/solr-4.8.1/contrib/extraction/lib/jdom-1.0.jar' to classloader
INFO  - 2015-11-25 20:52:27.314; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Software/solr-4.8.1/contrib/extraction/lib/jempbox-1.8.4.jar' to classloader
INFO  - 2015-11-25 20:52:27.315; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Software/solr-4.8.1/contrib/extraction/lib/juniversalchardet-1.0.3.jar' to classloader
INFO  - 2015-11-25 20:52:27.315; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Software/solr-4.8.1/contrib/extraction/lib/metadata-extractor-2.6.2.jar' to classloader
INFO  - 2015-11-25 20:52:27.316; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Software/solr-4.8.1/contrib/extraction/lib/netcdf-4.2-min.jar' to classloader
INFO  - 2015-11-25 20:52:27.316; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Software/solr-4.8.1/contrib/extraction/lib/pdfbox-1.8.4.jar' to classloader
INFO  - 2015-11-25 20:52:27.317; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Software/solr-4.8.1/contrib/extraction/lib/poi-3.10-beta2.jar' to classloader
INFO  - 2015-11-25 20:52:27.318; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Software/solr-4.8.1/contrib/extraction/lib/poi-ooxml-3.10-beta2.jar' to classloader
INFO  - 2015-11-25 20:52:27.319; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Software/solr-4.8.1/contrib/extraction/lib/poi-ooxml-schemas-3.10-beta2.jar' to classloader
INFO  - 2015-11-25 20:52:27.320; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Software/solr-4.8.1/contrib/extraction/lib/poi-scratchpad-3.10-beta2.jar' to classloader
INFO  - 2015-11-25 20:52:27.320; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Software/solr-4.8.1/contrib/extraction/lib/rome-0.9.jar' to classloader
INFO  - 2015-11-25 20:52:27.321; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Software/solr-4.8.1/contrib/extraction/lib/tagsoup-1.2.1.jar' to classloader
